University,Department,Year,Enrollment,Graduation Rate (%),Dropout Rate (%),Funding Allocation (ZAR),Average GPA
University of Pretoria,Health Science,2023,2324,76.45,26.92,6145144,3.71
University of Johannesburg,Law,2016,578,92.37,8.02,9090010,3.12
University of KwaZulu-Natal,Education,2016,2086,85.73,18.72,9283636,3.57
University of Cape Town,Health Science,2017,1818,90.01,23.34,18374713,3.52
Rhodes University,Engineering,2018,256,70.49,25.71,14736603,3.28
University of Johannesburg,Law,2024,1372,88.57,23.63,4422762,3.91
University of KwaZulu-Natal,Health Science,2015,2103,82.0,10.09,14540230,2.03
University of Cape Town,Health Science,2022,951,66.6,12.39,3087605,2.85
Stellenbosch University,Humanities,2015,2931,50.12,19.87,4586158,2.78
Wits University,Education,2018,1085,89.05,9.37,3663636,3.33
University of Pretoria,Education,2024,1012,67.96,14.25,2420385,2.81
Rhodes University,Education,2016,1665,94.97,22.62,3281091,3.65
University of Cape Town,Law,2016,1000,89.78,20.07,11280485,3.72
Stellenbosch University,Engineering,2023,2817,86.13,12.45,5227156,2.42
Stellenbosch University,Law,2018,488,92.92,5.63,17085872,2.67
University of Cape Town,Humanities,2024,1452,50.86,12.12,9172404,3.82
University of Cape Town,Health Science,2021,2209,68.83,21.95,14421291,2.63
Rhodes University,Health Science,2019,181,79.5,16.22,1071017,3.78
Stellenbosch University,Health Science,2015,2716,91.72,28.45,17458358,2.74
Rhodes University,Health Science,2021,199,62.88,24.16,18442584,2.51
University of Cape Town,Health Science,2023,461,61.94,5.87,10416423,3.97
Rhodes University,Engineering,2015,2356,72.02,22.52,11550746,3.27
University of KwaZulu-Natal,Law,2016,1989,55.73,24.38,18896377,2.28
Stellenbosch University,Health Science,2018,2505,74.59,23.01,10241231,3.71
Stellenbosch University,Education,2015,2377,94.5,20.28,8218513,3.56
University of KwaZulu-Natal,Education,2016,1761,79.52,11.18,19117346,3.48
Wits University,Education,2021,685,82.88,22.1,9861625,2.92
University of Johannesburg,Engineering,2019,1413,58.97,28.87,10233964,3.33
Rhodes University,Health Science,2017,2440,54.69,20.2,4427394,3.13
University of Pretoria,Education,2023,762,53.95,19.11,16167609,3.71
University of Johannesburg,Engineering,2017,239,58.32,14.45,10008235,2.07
Wits University,Health Science,2018,1578,59.02,16.89,3661179,2.47
Rhodes University,Health Science,2024,742,66.82,8.37,15044327,2.51
Rhodes University,Education,2016,2582,84.63,26.15,12744936,3.01
Rhodes University,Health Science,2022,2982,77.76,6.71,2545151,2.34
University of Johannesburg,Engineering,2019,1257,70.96,7.97,4683682,3.66
Rhodes University,Law,2022,2551,81.41,28.12,524257,3.26
University of Pretoria,Engineering,2023,2718,72.8,12.99,5397554,2.33
University of KwaZulu-Natal,Engineering,2024,1572,91.16,18.8,14464353,2.13
University of Johannesburg,Engineering,2021,106,88.73,20.71,3974288,2.99
University of Pretoria,Education,2019,2056,62.96,13.82,16950806,3.72
Wits University,Law,2020,2629,76.8,19.02,8372181,3.81
University of Cape Town,Engineering,2015,836,76.98,19.86,13253685,3.55
Rhodes University,Law,2020,120,58.04,18.9,12598897,2.15
University of Johannesburg,Law,2018,2261,81.51,13.64,6294837,2.51
Rhodes University,Humanities,2018,1007,75.73,11.45,15589997,3.97
Rhodes University,Education,2023,2219,92.4,29.03,18024307,3.28
University of Johannesburg,Education,2016,1659,90.05,15.92,3695632,3.73
University of Pretoria,Humanities,2018,2269,65.82,25.89,8677395,2.54
University of Cape Town,Engineering,2023,660,71.35,13.19,12724493,3.02
University of KwaZulu-Natal,Health Science,2019,1269,50.14,15.88,6615676,3.91
Rhodes University,Health Science,2021,141,91.6,21.41,9678979,2.6
University of Pretoria,Health Science,2022,896,63.17,10.54,14720981,3.33
Stellenbosch University,Health Science,2020,1824,71.26,20.93,1665500,2.0
University of Johannesburg,Law,2016,1252,74.67,20.1,1783780,2.92
Rhodes University,Engineering,2021,422,62.44,5.68,10510700,3.53
Stellenbosch University,Education,2022,2361,60.64,16.66,4725962,2.39
University of Pretoria,Engineering,2016,1009,78.28,20.45,1307048,3.21
Stellenbosch University,Health Science,2024,337,62.94,7.7,15598716,2.76
University of Pretoria,Health Science,2020,1840,61.96,24.95,4558048,2.44
Wits University,Law,2019,975,68.5,25.13,5858219,2.18
University of KwaZulu-Natal,Health Science,2020,2153,94.01,18.08,11161421,3.12
Wits University,Engineering,2024,3000,56.15,27.37,8111410,3.85
University of Pretoria,Education,2022,2010,53.9,16.99,8591653,3.95
University of KwaZulu-Natal,Law,2020,530,81.03,11.81,15036649,3.48
Wits University,Education,2022,1389,89.03,22.29,5112360,3.5
University of Pretoria,Health Science,2018,1208,67.07,13.32,17070239,2.3
University of Johannesburg,Humanities,2021,1775,60.41,24.48,8089625,3.32
Wits University,Law,2023,137,77.72,28.28,9303500,3.79
Stellenbosch University,Humanities,2020,951,94.6,21.28,5691512,3.86
University of Pretoria,Engineering,2022,2687,74.02,24.46,18901399,3.92
University of Cape Town,Humanities,2017,2860,78.05,26.92,1171888,3.78
Stellenbosch University,Humanities,2022,2769,93.71,14.3,12523836,3.6
University of Cape Town,Engineering,2015,1343,86.14,5.49,3684240,3.63
University of Pretoria,Health Science,2018,193,60.63,29.67,14077890,2.49
University of Johannesburg,Law,2016,2673,76.62,11.61,6594150,3.89
University of Cape Town,Education,2017,2707,81.71,17.12,7845580,2.82
University of Cape Town,Humanities,2019,2763,78.9,25.97,12211096,2.87
Wits University,Engineering,2017,2484,56.65,27.83,755779,2.65
University of Johannesburg,Education,2016,1344,79.13,27.55,4994526,2.36
University of KwaZulu-Natal,Law,2018,559,74.07,14.67,10557333,2.15
Stellenbosch University,Engineering,2023,1479,59.75,23.31,16990829,3.15
Stellenbosch University,Health Science,2019,510,58.52,24.12,19564424,2.58
Stellenbosch University,Engineering,2017,159,87.25,8.58,6325233,2.78
University of Johannesburg,Health Science,2024,1063,93.48,7.89,19332316,2.56
Rhodes University,Law,2017,2295,63.84,24.67,1147506,3.47
Rhodes University,Law,2019,2114,77.65,10.63,12039706,3.65
Rhodes University,Health Science,2020,114,58.55,23.39,4688483,3.35
University of Johannesburg,Humanities,2020,1302,61.29,11.24,4952003,3.32
Stellenbosch University,Education,2020,744,66.19,21.08,6492295,2.75
University of Johannesburg,Education,2022,1839,75.8,20.09,10062053,3.63
Rhodes University,Law,2015,901,62.16,17.6,8945201,3.88
Wits University,Education,2018,2548,81.84,24.88,8254785,2.23
Rhodes University,Education,2015,2544,58.14,19.38,8051110,3.14
University of Pretoria,Law,2017,779,57.4,19.57,2842053,4.0
Wits University,Law,2017,2227,75.37,14.32,15193999,2.89
University of KwaZulu-Natal,Education,2017,137,69.74,7.05,8179400,3.21
University of Cape Town,Humanities,2017,651,58.62,6.94,691203,2.69
Rhodes University,Health Science,2023,341,80.47,12.46,2066693,2.88
Wits University,Humanities,2016,769,79.36,25.95,11888566,3.13
Wits University,Engineering,2023,1382,90.17,27.6,16895756,3.87
University of Pretoria,Law,2015,1416,75.22,23.96,16431656,2.44
Wits University,Humanities,2016,935,83.3,21.66,4897371,2.14
Wits University,Education,2022,1616,63.81,26.39,8759873,3.27
University of Cape Town,Education,2015,2257,60.47,13.72,16122039,2.81
Wits University,Education,2023,1749,54.53,18.3,7994281,2.56
Stellenbosch University,Health Science,2024,2838,63.06,28.74,2071230,2.71
University of Johannesburg,Education,2018,898,58.41,7.73,8647277,2.22
University of Johannesburg,Law,2024,2528,51.79,22.48,13978635,3.16
Wits University,Education,2016,2338,75.5,8.2,5178230,3.06
University of KwaZulu-Natal,Education,2016,1204,61.12,15.33,1774044,2.77
University of Pretoria,Law,2015,809,93.01,25.5,4356774,3.88
Rhodes University,Law,2021,357,94.3,16.77,11746249,3.54
Wits University,Engineering,2018,920,83.52,23.55,8612812,2.34
Stellenbosch University,Engineering,2018,1608,82.06,28.96,13482291,3.17
University of Johannesburg,Health Science,2023,306,91.19,27.06,10909435,2.57
Stellenbosch University,Health Science,2019,655,85.93,25.3,11467780,2.35
Rhodes University,Law,2015,815,76.95,19.59,859251,2.05
Rhodes University,Engineering,2023,2506,91.7,19.19,6686997,3.48
University of Cape Town,Health Science,2018,1185,69.86,18.51,15077809,3.53
University of KwaZulu-Natal,Law,2022,180,93.61,28.47,2058112,2.27
University of Pretoria,Humanities,2022,576,56.45,5.22,5548180,3.65
University of Cape Town,Engineering,2021,584,84.41,7.91,9940345,2.91
University of Cape Town,Health Science,2016,159,58.72,15.43,14788097,2.13
Wits University,Law,2020,1967,76.96,15.81,15911816,3.21
University of KwaZulu-Natal,Health Science,2019,1052,60.04,10.31,13482548,3.15
Rhodes University,Engineering,2020,2917,77.64,18.09,14236750,3.11
Rhodes University,Law,2021,475,93.09,20.61,13162015,3.54
University of KwaZulu-Natal,Humanities,2017,2610,90.36,22.05,3821014,2.55
Rhodes University,Engineering,2018,2348,68.44,23.41,7730758,2.59
University of Cape Town,Health Science,2024,1433,84.88,23.84,1968612,2.46
University of Pretoria,Humanities,2019,164,54.24,25.0,13398593,3.48
Stellenbosch University,Engineering,2016,2882,80.3,5.45,4543202,3.99
University of KwaZulu-Natal,Education,2024,1377,60.62,14.58,19176609,2.31
Rhodes University,Humanities,2024,1400,59.84,26.34,7234152,2.93
Stellenbosch University,Engineering,2019,2094,87.14,20.64,13354817,2.62
Wits University,Health Science,2021,2341,65.54,16.95,12774839,2.7
Stellenbosch University,Education,2020,2874,72.42,28.84,14049348,3.07
University of Pretoria,Engineering,2019,2310,91.12,27.62,17074031,2.81
Wits University,Education,2019,1719,79.43,15.69,2581726,3.94
Rhodes University,Humanities,2021,1260,80.59,13.44,14441552,3.97
Stellenbosch University,Humanities,2015,2733,88.45,22.42,11004410,3.55
University of Johannesburg,Education,2015,621,88.28,10.06,7127074,2.78
University of KwaZulu-Natal,Engineering,2017,2597,52.45,16.49,18929764,3.56
University of Johannesburg,Education,2016,2980,70.12,12.86,13408676,3.63
University of KwaZulu-Natal,Law,2022,2535,84.78,9.85,10616131,3.97
Rhodes University,Health Science,2022,1468,66.05,26.84,10611644,2.07
Rhodes University,Education,2015,2683,73.02,23.1,15930382,3.44
University of KwaZulu-Natal,Health Science,2021,1484,75.78,17.74,11386739,3.1
University of Cape Town,Law,2020,2098,88.18,6.16,1384908,2.59
University of Pretoria,Education,2023,2411,69.74,19.03,2669704,2.6
University of Cape Town,Engineering,2019,1416,73.44,29.45,13581007,2.9
University of Pretoria,Law,2018,2103,93.13,18.09,19048552,3.86
Rhodes University,Health Science,2024,2734,53.89,24.62,7387685,2.26
Rhodes University,Health Science,2022,735,67.51,18.45,1835623,2.97
University of KwaZulu-Natal,Humanities,2017,1252,51.91,23.22,4876950,2.19
University of Cape Town,Health Science,2015,919,63.72,19.0,11175842,3.38
Wits University,Humanities,2019,215,91.44,17.17,12125088,3.32
University of Johannesburg,Humanities,2023,1043,92.51,21.83,10131493,2.27
Stellenbosch University,Health Science,2023,2166,63.59,14.15,1876197,2.35
University of Cape Town,Education,2015,2165,84.78,13.16,19458473,2.49
University of Cape Town,Health Science,2020,161,88.68,20.51,3008305,2.14
University of Cape Town,Education,2018,367,66.01,27.67,13247242,2.23
University of Cape Town,Law,2019,1312,51.04,12.86,16119641,2.83
Stellenbosch University,Health Science,2021,2273,86.87,13.6,7141816,2.72
Wits University,Health Science,2016,2501,65.6,14.92,11152613,3.95
University of KwaZulu-Natal,Engineering,2018,2794,57.84,12.99,8748288,3.55
University of Pretoria,Engineering,2017,590,52.83,15.93,18644459,2.49
University of Pretoria,Law,2019,2091,58.75,15.91,15389230,3.93
University of KwaZulu-Natal,Health Science,2024,1808,56.82,28.13,2138897,3.62
Rhodes University,Health Science,2023,1154,91.3,19.03,6198152,2.56
University of Johannesburg,Education,2022,850,72.31,11.16,19617609,3.85
University of Cape Town,Engineering,2023,2590,56.52,14.69,19122235,2.93
University of Cape Town,Law,2023,548,81.82,15.86,5408172,2.4
Rhodes University,Humanities,2021,1482,65.54,10.53,5068408,3.02
Wits University,Health Science,2024,201,92.09,27.29,19212457,2.85
Rhodes University,Law,2015,952,65.51,26.12,19510340,3.16
University of Cape Town,Health Science,2015,2876,67.16,23.43,15748418,2.72
Rhodes University,Engineering,2018,2852,79.96,19.73,9396752,2.18
Stellenbosch University,Education,2017,270,78.85,17.76,11385683,3.93
Rhodes University,Education,2016,615,62.25,17.04,11618008,2.61
Rhodes University,Education,2018,537,65.39,15.96,5537752,2.48
University of Johannesburg,Law,2015,1732,63.85,8.83,2381079,3.9
University of Cape Town,Health Science,2023,1339,69.04,23.21,6200850,2.6
University of Pretoria,Health Science,2015,789,73.81,5.95,14238339,2.75
Stellenbosch University,Health Science,2016,1578,89.81,9.76,6979366,3.99
Stellenbosch University,Humanities,2024,1075,70.62,18.6,12035661,3.36
University of Johannesburg,Health Science,2017,1692,70.01,16.1,18762873,3.36
University of KwaZulu-Natal,Education,2023,918,94.47,25.9,16504704,2.66
Rhodes University,Law,2024,1186,88.66,9.53,3122821,3.75
University of Johannesburg,Engineering,2015,909,82.29,10.42,17871985,3.14
University of Cape Town,Health Science,2024,2749,86.25,13.34,6125547,2.79
Stellenbosch University,Education,2020,2547,77.81,13.12,19792224,3.52
University of KwaZulu-Natal,Law,2017,1725,88.91,11.75,10967682,2.2
Rhodes University,Law,2016,2481,75.77,19.45,4600212,2.39
University of Pretoria,Education,2020,1890,69.72,26.53,5056117,3.45
University of Johannesburg,Humanities,2019,168,62.65,12.18,18532490,3.63
University of Johannesburg,Health Science,2024,2527,84.76,15.27,659956,2.64
Rhodes University,Engineering,2015,2259,75.85,28.42,12622486,2.13
University of Johannesburg,Humanities,2016,2255,88.8,28.53,4389363,3.89
University of Johannesburg,Law,2024,1345,71.58,26.51,7423472,2.05
University of Cape Town,Law,2019,2866,56.62,28.15,10465574,2.84
University of KwaZulu-Natal,Engineering,2018,567,87.97,22.21,5361625,2.47
University of KwaZulu-Natal,Law,2018,647,64.99,14.83,16431516,3.72
University of Pretoria,Humanities,2019,782,64.74,8.44,14025341,3.86
Rhodes University,Law,2022,543,75.36,28.92,8239077,4.0
University of Johannesburg,Health Science,2015,2429,94.29,23.27,17399918,2.68
Stellenbosch University,Health Science,2019,2299,50.22,11.1,12688383,3.27
Wits University,Law,2016,2557,53.95,25.38,2468775,3.26
Wits University,Humanities,2016,2677,75.92,11.89,15992112,3.88
University of Pretoria,Health Science,2015,298,57.05,27.07,6829163,3.48
University of Cape Town,Law,2015,1848,93.66,24.07,12556591,3.65
Stellenbosch University,Humanities,2023,135,74.97,7.21,8186437,2.64
University of KwaZulu-Natal,Humanities,2021,1848,72.23,23.96,7752590,3.65
Wits University,Law,2020,345,88.24,28.77,15319883,3.09
Wits University,Humanities,2021,1989,87.1,21.45,7784868,2.21
Rhodes University,Law,2018,2206,58.01,8.28,1500480,2.07
University of Johannesburg,Law,2019,2323,78.62,15.05,10935093,2.49
Stellenbosch University,Humanities,2020,217,92.34,25.83,16467919,3.8
Stellenbosch University,Health Science,2018,1167,65.34,16.29,8316997,3.27
University of Pretoria,Law,2021,727,67.29,5.8,15701522,3.17
University of Johannesburg,Humanities,2023,2622,65.97,17.98,8219613,3.86
Wits University,Education,2022,276,77.06,23.91,10919621,2.97
Wits University,Education,2019,1638,75.27,22.27,14585204,3.02
Stellenbosch University,Education,2017,2314,50.93,23.02,15863133,2.43
University of Johannesburg,Humanities,2020,1875,67.14,8.74,6507449,3.08
University of KwaZulu-Natal,Humanities,2023,2582,92.96,25.01,13571162,2.51
University of Cape Town,Law,2020,644,68.53,14.02,6335185,2.43
University of KwaZulu-Natal,Humanities,2024,1265,83.78,14.16,9319264,2.85
University of KwaZulu-Natal,Humanities,2022,1873,92.63,16.45,12650972,2.86
Rhodes University,Law,2020,1830,58.58,5.24,10052597,2.83
University of Johannesburg,Engineering,2015,1890,77.67,27.94,9449558,3.75
University of KwaZulu-Natal,Health Science,2018,1000,85.35,23.67,3870612,2.77
University of Cape Town,Health Science,2020,2458,65.05,19.01,5371523,2.43
Rhodes University,Education,2020,2741,73.22,8.04,1143608,3.46
University of Pretoria,Law,2017,1819,62.69,13.25,3820979,2.21
University of KwaZulu-Natal,Law,2021,630,76.52,27.82,4713552,3.54
Stellenbosch University,Humanities,2020,645,68.2,8.09,862070,2.3
University of KwaZulu-Natal,Education,2019,2955,69.49,24.79,15713320,3.04
Wits University,Education,2018,2691,62.71,14.72,1028721,2.81
University of Johannesburg,Education,2019,2379,71.79,16.07,10465556,2.06
Wits University,Law,2017,654,85.86,26.9,3510040,2.1
Rhodes University,Engineering,2018,924,88.53,8.68,1860958,2.86
Rhodes University,Health Science,2016,214,52.92,7.04,7836967,2.62
University of Pretoria,Health Science,2024,189,63.27,28.09,18472639,2.28
University of Pretoria,Humanities,2015,2960,72.31,24.55,13525482,3.34
University of KwaZulu-Natal,Health Science,2016,339,57.51,22.7,9048705,3.43
Stellenbosch University,Humanities,2024,1198,93.0,6.93,17893770,2.98
Wits University,Engineering,2023,2181,57.19,29.35,13898234,2.79
University of Johannesburg,Humanities,2018,2155,83.51,5.09,4374415,3.65
Rhodes University,Law,2016,946,56.81,18.52,13228973,3.86
Stellenbosch University,Humanities,2021,1259,74.57,27.17,18462534,3.71
Rhodes University,Health Science,2016,1764,62.58,9.0,9129081,3.29
University of Pretoria,Engineering,2022,930,50.63,11.83,2983972,3.8
University of Cape Town,Law,2018,1617,58.74,27.82,14553963,2.57
University of Pretoria,Health Science,2018,1798,53.91,15.88,14496403,2.53
Rhodes University,Education,2016,994,81.23,14.42,6610480,3.55
Rhodes University,Law,2016,2058,76.78,8.54,5110290,3.21
University of KwaZulu-Natal,Health Science,2021,575,92.33,6.87,14764363,3.82
University of Johannesburg,Education,2024,664,87.33,27.46,3339570,2.79
University of Cape Town,Education,2017,2036,72.65,6.31,612802,2.11
University of Cape Town,Education,2016,1618,85.3,22.21,16075043,3.04
University of Pretoria,Humanities,2015,2905,60.04,11.98,10387670,3.98
Stellenbosch University,Engineering,2020,2862,51.66,8.68,11410610,3.82
Wits University,Education,2015,2697,80.22,28.23,2653696,2.39
University of Cape Town,Education,2021,1857,83.55,22.45,2388867,2.62
Rhodes University,Health Science,2024,446,60.32,16.31,11712720,2.56
University of KwaZulu-Natal,Engineering,2024,2586,92.87,14.71,9873995,3.24
Rhodes University,Engineering,2023,194,88.2,8.45,15909849,3.58
University of Cape Town,Law,2024,402,69.59,7.98,10233034,2.89
Stellenbosch University,Education,2018,492,80.33,24.04,14356145,2.36
University of KwaZulu-Natal,Engineering,2018,379,80.93,29.68,1984473,3.49
University of Johannesburg,Education,2020,2997,74.56,19.44,11524118,2.73
Rhodes University,Engineering,2023,2694,57.76,28.48,9606828,2.94
University of Pretoria,Law,2024,1045,69.01,7.0,19115937,3.93
Stellenbosch University,Engineering,2019,744,81.97,24.74,13007066,3.41
University of Cape Town,Engineering,2022,788,57.21,22.46,12024931,2.06
University of Johannesburg,Education,2018,794,62.32,6.95,9640714,3.84
Wits University,Health Science,2018,168,53.1,20.54,16336881,2.03
Stellenbosch University,Engineering,2019,2661,68.58,12.17,7889095,2.31
Rhodes University,Education,2022,2529,75.61,6.06,1449761,2.01
Wits University,Law,2023,374,65.54,10.04,7179973,3.19
University of Johannesburg,Health Science,2024,1704,50.39,10.76,15170402,2.13
Wits University,Education,2024,2674,66.0,11.51,3261826,2.27
University of KwaZulu-Natal,Health Science,2019,1208,60.25,19.1,17120851,2.8
University of Johannesburg,Humanities,2023,1925,65.01,19.59,15431290,3.23
University of Johannesburg,Law,2022,896,57.81,28.83,18496473,3.51
University of Pretoria,Health Science,2022,1554,62.48,28.76,2488269,2.77
University of KwaZulu-Natal,Health Science,2018,235,74.57,23.75,7458520,2.47
Rhodes University,Engineering,2017,2427,76.79,5.54,6274038,3.26
Wits University,Engineering,2023,2947,72.88,21.5,3888676,2.82
Rhodes University,Health Science,2020,376,69.52,6.96,13071661,2.42
University of Pretoria,Education,2024,1302,51.6,7.37,10164280,2.48
University of Cape Town,Humanities,2024,2526,85.53,27.88,3613596,2.06
University of Pretoria,Health Science,2018,1436,68.67,29.25,18075343,2.29
Wits University,Health Science,2021,800,78.82,16.1,5768566,2.28
University of Pretoria,Engineering,2017,1588,51.31,29.21,6998715,2.84
University of Cape Town,Education,2023,2104,64.85,6.41,14423984,2.31
University of Cape Town,Law,2018,1220,62.77,7.17,19679800,3.16
Rhodes University,Education,2021,1228,90.49,22.63,15716952,3.78
University of Johannesburg,Health Science,2019,236,71.94,11.86,2311245,3.85
Stellenbosch University,Law,2017,355,74.3,26.14,1547488,2.63
Wits University,Health Science,2018,201,74.01,16.14,15051440,2.95
University of Cape Town,Law,2020,1563,58.87,23.5,16292885,2.79
Wits University,Engineering,2021,911,74.15,21.01,9040528,2.9
University of Johannesburg,Education,2018,2845,68.9,17.63,12658069,2.33
University of Pretoria,Health Science,2015,325,52.54,25.45,1684992,3.71
Wits University,Engineering,2017,561,63.2,6.61,3390002,3.74
Rhodes University,Law,2023,2501,69.25,14.15,13899434,3.35
Rhodes University,Law,2015,2469,54.55,6.14,18346214,2.6
Rhodes University,Engineering,2019,2444,89.15,12.98,15411330,2.66
Wits University,Health Science,2024,345,77.27,16.26,14875539,2.67
Rhodes University,Law,2019,729,90.82,6.04,14489469,2.82
Wits University,Education,2022,346,80.87,7.33,5624137,3.66
Rhodes University,Education,2024,1096,55.07,23.8,17863313,3.55
University of Cape Town,Humanities,2024,1602,56.73,13.36,14627302,3.39
University of KwaZulu-Natal,Education,2020,654,81.82,26.15,670393,3.05
University of Johannesburg,Education,2016,1748,77.88,19.46,11851206,2.32
Rhodes University,Humanities,2022,1201,93.28,8.85,13068334,3.28
Stellenbosch University,Health Science,2020,187,58.53,12.11,1314157,2.23
Wits University,Law,2022,965,67.43,7.58,5951681,3.74
University of Pretoria,Engineering,2019,2091,56.99,8.97,7056069,2.36
University of Pretoria,Education,2020,2542,75.68,26.92,9901124,2.65
Stellenbosch University,Law,2015,1460,94.95,7.39,14615139,3.39
Stellenbosch University,Health Science,2020,1982,61.65,16.78,12211026,3.27
Stellenbosch University,Education,2022,1758,91.17,14.78,15432960,2.94
Wits University,Engineering,2017,514,83.39,15.01,10481782,3.16
Rhodes University,Humanities,2020,680,60.59,12.92,13791539,2.52
University of Pretoria,Law,2020,290,93.55,10.34,12614480,3.84
Stellenbosch University,Health Science,2015,2917,92.49,29.91,18947807,2.07
University of KwaZulu-Natal,Education,2018,1122,76.61,27.33,4465036,2.03
University of KwaZulu-Natal,Humanities,2018,1632,60.14,21.95,16385933,3.5
Wits University,Engineering,2017,1392,52.46,29.61,16743326,2.46
University of KwaZulu-Natal,Engineering,2020,1540,55.8,7.96,4329738,2.55
Wits University,Education,2020,608,77.04,17.24,5312277,3.86
Rhodes University,Humanities,2016,403,50.5,15.96,18874623,3.7
University of Cape Town,Health Science,2022,890,51.89,22.96,4204783,2.45
University of Johannesburg,Health Science,2020,2513,88.43,7.42,1776627,2.39
University of Pretoria,Engineering,2017,1788,73.95,22.33,712751,3.0
University of Pretoria,Health Science,2024,1301,81.37,26.94,12470218,3.53
University of Johannesburg,Humanities,2022,2479,70.17,17.44,19304601,2.71
University of Johannesburg,Humanities,2019,2227,74.39,27.18,11039865,2.0
Stellenbosch University,Law,2023,1688,65.68,7.18,4890274,2.83
University of Cape Town,Humanities,2023,2738,53.19,28.59,2054470,3.7
Wits University,Law,2023,600,71.78,17.04,16015771,3.57
University of Johannesburg,Engineering,2022,1664,78.92,9.67,9774258,3.17
Wits University,Engineering,2021,510,60.52,6.19,6355123,2.93
University of KwaZulu-Natal,Humanities,2019,423,79.52,10.27,11119642,3.85
University of Johannesburg,Humanities,2016,1911,80.63,12.5,15372293,3.76
University of Pretoria,Humanities,2016,1285,80.3,8.82,15760093,2.45
Wits University,Engineering,2019,758,79.08,20.83,8030184,2.45
University of Cape Town,Law,2023,454,86.28,17.69,8318386,2.62
University of KwaZulu-Natal,Engineering,2024,1638,88.97,14.7,14403661,2.69
Stellenbosch University,Education,2015,863,94.67,19.68,17939274,3.22
Wits University,Humanities,2022,2316,55.83,17.65,19045384,3.14
Stellenbosch University,Health Science,2024,2525,60.86,19.19,16630345,2.22
University of Cape Town,Engineering,2022,1533,62.94,23.38,658497,3.0
Rhodes University,Education,2016,1274,62.01,5.51,8372655,2.8
University of Cape Town,Education,2016,1666,59.76,18.8,3871959,2.05
University of Pretoria,Health Science,2017,1704,53.14,12.53,14163435,3.64
University of Johannesburg,Engineering,2022,766,93.7,8.45,19306957,3.27
University of Cape Town,Law,2016,2865,65.99,28.42,8144861,3.1
University of Cape Town,Humanities,2019,1803,61.48,7.55,11452108,3.59
University of Johannesburg,Health Science,2023,1481,60.22,10.72,6697847,3.79
University of Pretoria,Humanities,2023,1048,64.95,5.9,8424494,2.67
University of Pretoria,Education,2016,1034,72.32,6.1,10758701,3.87
University of KwaZulu-Natal,Humanities,2018,1727,57.95,11.26,14444721,3.37
Rhodes University,Engineering,2020,2193,77.33,14.62,14755885,2.68
University of Cape Town,Health Science,2017,2200,64.77,28.58,8517049,2.26
Wits University,Humanities,2021,1002,74.85,29.16,14850274,2.6
University of Pretoria,Engineering,2022,2765,57.72,23.74,7082884,3.73
University of Cape Town,Engineering,2018,1996,50.6,20.4,7745667,3.14
University of Cape Town,Law,2024,149,51.34,23.97,6960105,2.99
Stellenbosch University,Health Science,2016,860,85.9,18.37,7619134,2.17
University of Cape Town,Humanities,2024,641,59.65,11.72,14690479,2.37
University of Johannesburg,Humanities,2023,1287,78.19,14.98,16768202,2.43
University of KwaZulu-Natal,Humanities,2021,1769,91.39,23.75,3099948,2.6
University of Johannesburg,Law,2018,2138,51.08,6.64,8120648,3.44
Stellenbosch University,Engineering,2021,1497,58.63,19.62,16902748,2.22
University of Johannesburg,Humanities,2020,651,79.8,14.31,11055003,2.13
Rhodes University,Education,2018,1350,85.07,6.97,17785672,3.45
University of KwaZulu-Natal,Health Science,2016,496,71.85,7.06,5748058,3.09
University of Pretoria,Health Science,2021,303,84.55,9.23,783831,2.32
University of Johannesburg,Engineering,2024,504,89.77,25.91,9040176,3.67
University of KwaZulu-Natal,Education,2018,2759,75.14,14.48,13000615,2.29
University of Cape Town,Health Science,2018,925,57.6,5.8,14382326,3.29
Wits University,Humanities,2015,1342,67.68,13.1,1301986,2.45
University of Pretoria,Education,2023,1032,78.15,13.06,12027252,2.25
University of Cape Town,Humanities,2024,450,91.53,27.18,10905284,2.85
University of Cape Town,Humanities,2015,1922,66.13,13.01,15486420,3.34
University of Pretoria,Humanities,2021,446,72.95,25.89,12837647,3.25
Stellenbosch University,Education,2022,2086,59.88,6.75,17427691,2.82
University of Pretoria,Health Science,2017,2762,60.21,5.17,9038541,2.41
University of Johannesburg,Law,2023,2693,50.14,29.32,11855055,3.79
Stellenbosch University,Education,2024,2733,51.78,11.58,2317431,2.61
University of Cape Town,Health Science,2018,2534,59.53,22.67,13678394,2.14
University of Cape Town,Education,2017,827,86.09,28.35,15929256,2.86
University of Cape Town,Engineering,2022,300,74.42,25.63,16616544,3.64
University of Pretoria,Humanities,2021,2430,56.54,11.06,15453045,3.85
Rhodes University,Engineering,2023,2121,68.95,17.62,17285985,2.57
Stellenbosch University,Law,2019,2535,52.68,5.06,920979,2.2
University of Johannesburg,Law,2020,115,87.68,15.49,13290340,2.59
University of Pretoria,Education,2017,2036,64.99,18.07,12381042,2.23
University of KwaZulu-Natal,Education,2022,2671,63.07,27.76,17638567,2.68
Wits University,Law,2023,137,78.23,15.92,7617673,3.72
University of Pretoria,Humanities,2024,1298,94.03,16.06,18420735,3.37
University of Cape Town,Health Science,2019,1346,82.16,8.27,11516796,3.76
University of Johannesburg,Health Science,2020,2020,66.36,6.78,11169695,2.91
Wits University,Law,2016,531,65.98,22.03,14496679,2.73
